시점,구분별,영업이익실적SBHI
2015.02,전산업,74.1
2015.02,식료품,74.2
2015.02,음료,97.6
2015.02,섬유제품;의복제외,59.7
2015.02,"의복,의복악세서리및모피제품",50.8
2015.02,"가죽,가방및신발",73.6
2015.02,목재및나무제품;가구제외,68.6
2015.02,"펄프,종이및종이제품",72.3
2015.02,인쇄및기록매체복제업,80.5
2015.02,화학물질및화학제품;의약품제외,82.1
2015.02,의료용물질및의약품,100.2
2015.02,고무제품및플라스틱제품,69.4
2015.02,비금속광물제품,72.8
2015.02,1차금속,59.3
2015.02,금속가공제품;기계및가구제외,69.4
2015.02,"전자부품,컴퓨터,영상,음향및통신장비",82.8
2015.02,"의료,정밀,광학기기및시계",76.2
2015.02,전기장비,71.6
2015.02,기타기계및장비,71
2015.02,자동차및트레일러,71.3
2015.02,기타운송장비,74
2015.02,가구,68.8
2015.02,기타제품,69.9
2015.02,비제조업,75.7
2015.02,건설업,66.1
2015.02,도매 및 소매업,76.9
2015.02,운수업,80.7
2015.02,숙박 및 음식점업,76.4
2015.02,"출판,영상,방송통신 및 정보서비스업",83.6
2015.02,부동산업 및 임대업,89.8
2015.02,"전문,과학 및 기술서비스업",85.4
2015.02,사업시설관리 및 사업지원서비스업,81.3
2015.02,교육서비스업,83.5
2015.02,"예술,스포츠 및 여가관련서비스업",79.3
2015.02,수리 및 기타개인서비스업,78.2
2015.03,전산업,78.7
2015.03,식료품,81
2015.03,음료,98.9
2015.03,섬유제품;의복제외,68.7
2015.03,"의복,의복악세서리및모피제품",66.8
2015.03,"가죽,가방및신발",84
2015.03,목재및나무제품;가구제외,77.6
2015.03,"펄프,종이및종이제품",74.9
2015.03,인쇄및기록매체복제업,79.4
2015.03,화학물질및화학제품;의약품제외,85.9
2015.03,의료용물질및의약품,100.3
2015.03,고무제품및플라스틱제품,78.5
2015.03,비금속광물제품,91.5
2015.03,1차금속,71.5
2015.03,금속가공제품;기계및가구제외,85
2015.03,"전자부품,컴퓨터,영상,음향및통신장비",87.4
2015.03,"의료,정밀,광학기기및시계",80.5
2015.03,전기장비,82.6
2015.03,기타기계및장비,73.6
2015.03,자동차및트레일러,83.2
2015.03,기타운송장비,88.2
2015.03,가구,78.3
2015.03,기타제품,81.3
2015.03,비제조업,77.7
2015.03,건설업,70
2015.03,도매 및 소매업,76.3
2015.03,운수업,87.9
2015.03,숙박 및 음식점업,85.6
2015.03,"출판,영상,방송통신 및 정보서비스업",88.7
2015.03,부동산업 및 임대업,98.9
2015.03,"전문,과학 및 기술서비스업",87.7
2015.03,사업시설관리 및 사업지원서비스업,88.4
2015.03,교육서비스업,78.1
2015.03,"예술,스포츠 및 여가관련서비스업",95.3
2015.03,수리 및 기타개인서비스업,75.4
2015.04,전산업,80.4
2015.04,식료품,80.7
2015.04,음료,108
2015.04,섬유제품;의복제외,74.1
2015.04,"의복,의복악세서리및모피제품",76.2
2015.04,"가죽,가방및신발",92.3
2015.04,목재및나무제품;가구제외,75.6
2015.04,"펄프,종이및종이제품",74.7
2015.04,인쇄및기록매체복제업,71.1
2015.04,화학물질및화학제품;의약품제외,90.6
2015.04,의료용물질및의약품,113.2
2015.04,고무제품및플라스틱제품,84.8
2015.04,비금속광물제품,84.1
2015.04,1차금속,74
2015.04,금속가공제품;기계및가구제외,81.6
2015.04,"전자부품,컴퓨터,영상,음향및통신장비",87
2015.04,"의료,정밀,광학기기및시계",78.7
2015.04,전기장비,84.1
2015.04,기타기계및장비,83.2
2015.04,자동차및트레일러,89.1
2015.04,기타운송장비,85.4
2015.04,가구,73
2015.04,기타제품,75.2
2015.04,비제조업,78.8
2015.04,건설업,73.2
2015.04,도매 및 소매업,77.4
2015.04,운수업,84.7
2015.04,숙박 및 음식점업,91.6
2015.04,"출판,영상,방송통신 및 정보서비스업",88.1
2015.04,부동산업 및 임대업,85.1
2015.04,"전문,과학 및 기술서비스업",86
2015.04,사업시설관리 및 사업지원서비스업,80.8
2015.04,교육서비스업,90.5
2015.04,"예술,스포츠 및 여가관련서비스업",91.8
2015.04,수리 및 기타개인서비스업,83.3
2015.05,전산업,82.8
2015.05,식료품,86.6
2015.05,음료,112
2015.05,섬유제품;의복제외,77.4
2015.05,"의복,의복악세서리및모피제품",74.6
2015.05,"가죽,가방및신발",81.1
2015.05,목재및나무제품;가구제외,68
2015.05,"펄프,종이및종이제품",73
2015.05,인쇄및기록매체복제업,70.8
2015.05,화학물질및화학제품;의약품제외,86.1
2015.05,의료용물질및의약품,97.4
2015.05,고무제품및플라스틱제품,88.8
2015.05,비금속광물제품,84.2
2015.05,1차금속,71
2015.05,금속가공제품;기계및가구제외,82.2
2015.05,"전자부품,컴퓨터,영상,음향및통신장비",75.9
2015.05,"의료,정밀,광학기기및시계",81.6
2015.05,전기장비,82.2
2015.05,기타기계및장비,78.4
2015.05,자동차및트레일러,85.7
2015.05,기타운송장비,86.2
2015.05,가구,65.1
2015.05,기타제품,81.4
2015.05,비제조업,83.8
2015.05,건설업,76.4
2015.05,도매 및 소매업,84.1
2015.05,운수업,88.8
2015.05,숙박 및 음식점업,101
2015.05,"출판,영상,방송통신 및 정보서비스업",83.1
2015.05,부동산업 및 임대업,99.1
2015.05,"전문,과학 및 기술서비스업",87.4
2015.05,사업시설관리 및 사업지원서비스업,87
2015.05,교육서비스업,92.7
2015.05,"예술,스포츠 및 여가관련서비스업",90.3
2015.05,수리 및 기타개인서비스업,86.9
2015.06,전산업,74.8
2015.06,식료품,72.5
2015.06,음료,77.1
2015.06,섬유제품;의복제외,69.8
2015.06,"의복,의복악세서리및모피제품",64.5
2015.06,"가죽,가방및신발",74.1
2015.06,목재및나무제품;가구제외,70.9
2015.06,"펄프,종이및종이제품",71
2015.06,인쇄및기록매체복제업,55.2
2015.06,화학물질및화학제품;의약품제외,76.8
2015.06,의료용물질및의약품,90.1
2015.06,고무제품및플라스틱제품,75.7
2015.06,비금속광물제품,79.3
2015.06,1차금속,74.3
2015.06,금속가공제품;기계및가구제외,78.5
2015.06,"전자부품,컴퓨터,영상,음향및통신장비",83.7
2015.06,"의료,정밀,광학기기및시계",84.1
2015.06,전기장비,84.7
2015.06,기타기계및장비,72.8
2015.06,자동차및트레일러,80.6
2015.06,기타운송장비,75.1
2015.06,가구,61.1
2015.06,기타제품,77.6
2015.06,비제조업,73.8
2015.06,건설업,79.3
2015.06,도매 및 소매업,70.9
2015.06,운수업,75.1
2015.06,숙박 및 음식점업,59.2
2015.06,"출판,영상,방송통신 및 정보서비스업",80.7
2015.06,부동산업 및 임대업,87.3
2015.06,"전문,과학 및 기술서비스업",81.7
2015.06,사업시설관리 및 사업지원서비스업,80.5
2015.06,교육서비스업,57.7
2015.06,"예술,스포츠 및 여가관련서비스업",70.7
2015.06,수리 및 기타개인서비스업,68.8
2015.07,전산업,75
2015.07,식료품,78.7
2015.07,음료,105.4
2015.07,섬유제품;의복제외,64.7
2015.07,"의복,의복악세서리및모피제품",66.6
2015.07,"가죽,가방및신발",72.8
2015.07,목재및나무제품;가구제외,69.8
2015.07,"펄프,종이및종이제품",70.9
2015.07,인쇄및기록매체복제업,62.9
2015.07,화학물질및화학제품;의약품제외,77.6
2015.07,의료용물질및의약품,85.5
2015.07,고무제품및플라스틱제품,71.7
2015.07,비금속광물제품,78.7
2015.07,1차금속,71.6
2015.07,금속가공제품;기계및가구제외,75.8
2015.07,"전자부품,컴퓨터,영상,음향및통신장비",83.9
2015.07,"의료,정밀,광학기기및시계",75.2
2015.07,전기장비,78.8
2015.07,기타기계및장비,78.8
2015.07,자동차및트레일러,81.7
2015.07,기타운송장비,79.2
2015.07,가구,59.5
2015.07,기타제품,79.4
2015.07,비제조업,74.3
2015.07,건설업,78.4
2015.07,도매 및 소매업,72.1
2015.07,운수업,76.8
2015.07,숙박 및 음식점업,67.9
2015.07,"출판,영상,방송통신 및 정보서비스업",81
2015.07,부동산업 및 임대업,79
2015.07,"전문,과학 및 기술서비스업",84.7
2015.07,사업시설관리 및 사업지원서비스업,80.9
2015.07,교육서비스업,77.7
2015.07,"예술,스포츠 및 여가관련서비스업",80.7
2015.07,수리 및 기타개인서비스업,76.3
2015.08,전산업,76.8
2015.08,식료품,84.6
2015.08,음료,97.7
2015.08,섬유제품;의복제외,71.6
2015.08,"의복,의복악세서리및모피제품",63.1
2015.08,"가죽,가방및신발",74.3
2015.08,목재및나무제품;가구제외,64.9
2015.08,"펄프,종이및종이제품",70.2
2015.08,인쇄및기록매체복제업,59.4
2015.08,화학물질및화학제품;의약품제외,74.9
2015.08,의료용물질및의약품,84.8
2015.08,고무제품및플라스틱제품,69.6
2015.08,비금속광물제품,80.1
2015.08,1차금속,66.2
2015.08,금속가공제품;기계및가구제외,80
2015.08,"전자부품,컴퓨터,영상,음향및통신장비",80.6
2015.08,"의료,정밀,광학기기및시계",74.4
2015.08,전기장비,69.8
2015.08,기타기계및장비,78.6
2015.08,자동차및트레일러,72.3
2015.08,기타운송장비,73.8
2015.08,가구,63.8
2015.08,기타제품,59.5
2015.08,비제조업,77.6
2015.08,건설업,75.2
2015.08,도매 및 소매업,77.5
2015.08,운수업,75.2
2015.08,숙박 및 음식점업,81.9
2015.08,"출판,영상,방송통신 및 정보서비스업",83
2015.08,부동산업 및 임대업,81.2
2015.08,"전문,과학 및 기술서비스업",82.4
2015.08,사업시설관리 및 사업지원서비스업,79.6
2015.08,교육서비스업,79.9
2015.08,"예술,스포츠 및 여가관련서비스업",78.9
2015.08,수리 및 기타개인서비스업,76
2015.09,전산업,80.7
2015.09,식료품,95
2015.09,음료,107.1
2015.09,섬유제품;의복제외,79.4
2015.09,"의복,의복악세서리및모피제품",72.6
2015.09,"가죽,가방및신발",76
2015.09,목재및나무제품;가구제외,72
2015.09,"펄프,종이및종이제품",81.3
2015.09,인쇄및기록매체복제업,73.2
2015.09,화학물질및화학제품;의약품제외,75.3
2015.09,의료용물질및의약품,89.5
2015.09,고무제품및플라스틱제품,78.4
2015.09,비금속광물제품,81.9
2015.09,1차금속,82.5
2015.09,금속가공제품;기계및가구제외,79.2
2015.09,"전자부품,컴퓨터,영상,음향및통신장비",85.8
2015.09,"의료,정밀,광학기기및시계",82.1
2015.09,전기장비,80.5
2015.09,기타기계및장비,72.5
2015.09,자동차및트레일러,81.4
2015.09,기타운송장비,84
2015.09,가구,66.8
2015.09,기타제품,63.6
2015.09,비제조업,81
2015.09,건설업,78.4
2015.09,도매 및 소매업,80.3
2015.09,운수업,84.7
2015.09,숙박 및 음식점업,79.5
2015.09,"출판,영상,방송통신 및 정보서비스업",88
2015.09,부동산업 및 임대업,94.7
2015.09,"전문,과학 및 기술서비스업",89.2
2015.09,사업시설관리 및 사업지원서비스업,87.7
2015.09,교육서비스업,83.9
2015.09,"예술,스포츠 및 여가관련서비스업",83.4
2015.09,수리 및 기타개인서비스업,77.5
2015.1,전산업,83.3
2015.1,식료품,90.1
2015.1,음료,98.7
2015.1,섬유제품;의복제외,82.1
2015.1,"의복,의복악세서리및모피제품",68.9
2015.1,"가죽,가방및신발",72.9
2015.1,목재및나무제품;가구제외,79.4
2015.1,"펄프,종이및종이제품",77.9
2015.1,인쇄및기록매체복제업,77.8
2015.1,화학물질및화학제품;의약품제외,90.4
2015.1,의료용물질및의약품,96.6
2015.1,고무제품및플라스틱제품,83.7
2015.1,비금속광물제품,81.3
2015.1,1차금속,81.1
2015.1,금속가공제품;기계및가구제외,79.5
2015.1,"전자부품,컴퓨터,영상,음향및통신장비",89.3
2015.1,"의료,정밀,광학기기및시계",82.6
2015.1,전기장비,81.4
2015.1,기타기계및장비,75.1
2015.1,자동차및트레일러,78.3
2015.1,기타운송장비,82.6
2015.1,가구,65.7
2015.1,기타제품,81.7
2015.1,비제조업,84
2015.1,건설업,79.9
2015.1,도매 및 소매업,84.3
2015.1,운수업,87.5
2015.1,숙박 및 음식점업,88
2015.1,"출판,영상,방송통신 및 정보서비스업",87.3
2015.1,부동산업 및 임대업,94.1
2015.1,"전문,과학 및 기술서비스업",85.1
2015.1,사업시설관리 및 사업지원서비스업,88.7
2015.1,교육서비스업,83.6
2015.1,"예술,스포츠 및 여가관련서비스업",82.9
2015.1,수리 및 기타개인서비스업,73.3
2015.11,전산업,80.2
2015.11,식료품,80.8
2015.11,음료,91.7
2015.11,섬유제품;의복제외,71.7
2015.11,"의복,의복악세서리및모피제품",71.6
2015.11,"가죽,가방및신발",72.9
2015.11,목재및나무제품;가구제외,70.8
2015.11,"펄프,종이및종이제품",81.9
2015.11,인쇄및기록매체복제업,86.3
2015.11,화학물질및화학제품;의약품제외,87.9
2015.11,의료용물질및의약품,94.3
2015.11,고무제품및플라스틱제품,82
2015.11,비금속광물제품,79.9
2015.11,1차금속,73.9
2015.11,금속가공제품;기계및가구제외,81.9
2015.11,"전자부품,컴퓨터,영상,음향및통신장비",79.8
2015.11,"의료,정밀,광학기기및시계",82.1
2015.11,전기장비,78.7
2015.11,기타기계및장비,73.6
2015.11,자동차및트레일러,85.4
2015.11,기타운송장비,76.9
2015.11,가구,65.3
2015.11,기타제품,81.8
2015.11,비제조업,80.5
2015.11,건설업,76.8
2015.11,도매 및 소매업,79.8
2015.11,운수업,86.2
2015.11,숙박 및 음식점업,88.6
2015.11,"출판,영상,방송통신 및 정보서비스업",88.9
2015.11,부동산업 및 임대업,86
2015.11,"전문,과학 및 기술서비스업",88
2015.11,사업시설관리 및 사업지원서비스업,81.9
2015.11,교육서비스업,81.6
2015.11,"예술,스포츠 및 여가관련서비스업",79.9
2015.11,수리 및 기타개인서비스업,80.9
2015.12,전산업,79.7
2015.12,식료품,84.2
2015.12,음료,89.6
2015.12,섬유제품;의복제외,73.3
2015.12,"의복,의복악세서리및모피제품",65.6
2015.12,"가죽,가방및신발",67.5
2015.12,목재및나무제품;가구제외,61.9
2015.12,"펄프,종이및종이제품",77.7
2015.12,인쇄및기록매체복제업,92.6
2015.12,화학물질및화학제품;의약품제외,81.5
2015.12,의료용물질및의약품,94.2
2015.12,고무제품및플라스틱제품,75.6
2015.12,비금속광물제품,75.8
2015.12,1차금속,77.7
2015.12,금속가공제품;기계및가구제외,73.9
2015.12,"전자부품,컴퓨터,영상,음향및통신장비",77.9
2015.12,"의료,정밀,광학기기및시계",72.3
2015.12,전기장비,71.2
2015.12,기타기계및장비,78.5
2015.12,자동차및트레일러,74.5
2015.12,기타운송장비,77.9
2015.12,가구,69.8
2015.12,기타제품,74
2015.12,비제조업,81
2015.12,건설업,72.7
2015.12,도매 및 소매업,81.4
2015.12,운수업,81.6
2015.12,숙박 및 음식점업,95.5
2015.12,"출판,영상,방송통신 및 정보서비스업",87
2015.12,부동산업 및 임대업,78
2015.12,"전문,과학 및 기술서비스업",91.3
2015.12,사업시설관리 및 사업지원서비스업,83.1
2015.12,교육서비스업,87.4
2015.12,"예술,스포츠 및 여가관련서비스업",82.9
2015.12,수리 및 기타개인서비스업,85.9
2016.01,전산업,74.8
2016.01,식료품,82.3
2016.01,음료,91.7
2016.01,섬유제품;의복제외,63.6
2016.01,"의복,의복악세서리및모피제품",70.2
2016.01,"가죽,가방및신발",62.5
2016.01,목재및나무제품;가구제외,64.2
2016.01,"펄프,종이및종이제품",81.3
2016.01,인쇄및기록매체복제업,76.2
2016.01,화학물질및화학제품;의약품제외,88.8
2016.01,의료용물질및의약품,92.3
2016.01,고무제품및플라스틱제품,71.7
2016.01,비금속광물제품,59.6
2016.01,1차금속,72.7
2016.01,금속가공제품;기계및가구제외,72.7
2016.01,"전자부품,컴퓨터,영상,음향및통신장비",84.3
2016.01,"의료,정밀,광학기기및시계",78.9
2016.01,전기장비,81
2016.01,기타기계및장비,73.3
2016.01,자동차및트레일러,79.1
2016.01,기타운송장비,83.9
2016.01,가구,72.8
2016.01,기타제품,67.8
2016.01,비제조업,74.2
2016.01,건설업,66.1
2016.01,도매 및 소매업,75
2016.01,운수업,79.5
2016.01,숙박 및 음식점업,78.3
2016.01,"출판,영상,방송통신 및 정보서비스업",84.1
2016.01,부동산업 및 임대업,71.7
2016.01,"전문,과학 및 기술서비스업",85.4
2016.01,사업시설관리 및 사업지원서비스업,73.1
2016.01,교육서비스업,81.9
2016.01,"예술,스포츠 및 여가관련서비스업",62.2
2016.01,수리 및 기타개인서비스업,71.5
2016.02,전산업,70.2
2016.02,식료품,80.5
2016.02,음료,78.5
2016.02,섬유제품;의복제외,60.5
2016.02,"의복,의복악세서리및모피제품",56.7
2016.02,"가죽,가방및신발",62
2016.02,목재및나무제품;가구제외,54.7
2016.02,"펄프,종이및종이제품",67.5
2016.02,인쇄및기록매체복제업,71.9
2016.02,화학물질및화학제품;의약품제외,69.2
2016.02,의료용물질및의약품,83.5
2016.02,고무제품및플라스틱제품,68.3
2016.02,비금속광물제품,60.6
2016.02,1차금속,66.7
2016.02,금속가공제품;기계및가구제외,66.3
2016.02,"전자부품,컴퓨터,영상,음향및통신장비",74.2
2016.02,"의료,정밀,광학기기및시계",62.3
2016.02,전기장비,73
2016.02,기타기계및장비,71.4
2016.02,자동차및트레일러,76.7
2016.02,기타운송장비,69
2016.02,가구,78.2
2016.02,기타제품,62.5
2016.02,비제조업,70.2
2016.02,건설업,64.1
2016.02,도매 및 소매업,71.1
2016.02,운수업,68.9
2016.02,숙박 및 음식점업,67.4
2016.02,"출판,영상,방송통신 및 정보서비스업",76
2016.02,부동산업 및 임대업,71.4
2016.02,"전문,과학 및 기술서비스업",80
2016.02,사업시설관리 및 사업지원서비스업,76.8
2016.02,교육서비스업,73.6
2016.02,"예술,스포츠 및 여가관련서비스업",76.4
2016.02,수리 및 기타개인서비스업,66
2016.03,전산업,83.1
2016.03,식료품,92.1
2016.03,음료,99.1
2016.03,섬유제품;의복제외,80.6
2016.03,"의복,의복악세서리및모피제품",66.7
2016.03,"가죽,가방및신발",92.4
2016.03,목재및나무제품;가구제외,78.8
2016.03,"펄프,종이및종이제품",84.7
2016.03,인쇄및기록매체복제업,80.7
2016.03,화학물질및화학제품;의약품제외,86.8
2016.03,의료용물질및의약품,91.2
2016.03,고무제품및플라스틱제품,78.5
2016.03,비금속광물제품,84.4
2016.03,1차금속,89.5
2016.03,금속가공제품;기계및가구제외,78.2
2016.03,"전자부품,컴퓨터,영상,음향및통신장비",77.7
2016.03,"의료,정밀,광학기기및시계",75.8
2016.03,전기장비,94.1
2016.03,기타기계및장비,76.5
2016.03,자동차및트레일러,81
2016.03,기타운송장비,81.5
2016.03,가구,93
2016.03,기타제품,68.3
2016.03,비제조업,83
2016.03,건설업,73.4
2016.03,도매 및 소매업,81.5
2016.03,운수업,87.7
2016.03,숙박 및 음식점업,74.6
2016.03,"출판,영상,방송통신 및 정보서비스업",94.4
2016.03,부동산업 및 임대업,85.9
2016.03,"전문,과학 및 기술서비스업",89
2016.03,사업시설관리 및 사업지원서비스업,84.9
2016.03,교육서비스업,97.2
2016.03,"예술,스포츠 및 여가관련서비스업",94.3
2016.03,수리 및 기타개인서비스업,78.6
2016.04,전산업,83.9
2016.04,식료품,92.8
2016.04,음료,103.4
2016.04,섬유제품;의복제외,80.6
2016.04,"의복,의복악세서리및모피제품",79.3
2016.04,"가죽,가방및신발",84.6
2016.04,목재및나무제품;가구제외,85
2016.04,"펄프,종이및종이제품",79
2016.04,인쇄및기록매체복제업,80.6
2016.04,화학물질및화학제품;의약품제외,88.9
2016.04,의료용물질및의약품,96.8
2016.04,고무제품및플라스틱제품,90.4
2016.04,비금속광물제품,90.3
2016.04,1차금속,89
2016.04,금속가공제품;기계및가구제외,84.6
2016.04,"전자부품,컴퓨터,영상,음향및통신장비",84.4
2016.04,"의료,정밀,광학기기및시계",80.4
2016.04,전기장비,93.4
2016.04,기타기계및장비,74.4
2016.04,자동차및트레일러,82.7
2016.04,기타운송장비,85.2
2016.04,가구,71.4
2016.04,기타제품,76.6
2016.04,비제조업,82.7
2016.04,건설업,77.6
2016.04,도매 및 소매업,80.4
2016.04,운수업,84.9
2016.04,숙박 및 음식점업,76.9
2016.04,"출판,영상,방송통신 및 정보서비스업",93.9
2016.04,부동산업 및 임대업,84.5
2016.04,"전문,과학 및 기술서비스업",85.4
2016.04,사업시설관리 및 사업지원서비스업,93.9
2016.04,교육서비스업,94.1
2016.04,"예술,스포츠 및 여가관련서비스업",91
2016.04,수리 및 기타개인서비스업,81.6
2016.05,전산업,84.1
2016.05,식료품,87.6
2016.05,음료,95.4
2016.05,섬유제품;의복제외,81.9
2016.05,"의복,의복악세서리및모피제품",92.5
2016.05,"가죽,가방및신발",82.5
2016.05,목재및나무제품;가구제외,86.2
2016.05,"펄프,종이및종이제품",76.6
2016.05,인쇄및기록매체복제업,72.4
2016.05,화학물질및화학제품;의약품제외,93.1
2016.05,의료용물질및의약품,93.9
2016.05,고무제품및플라스틱제품,84.5
2016.05,비금속광물제품,87.8
2016.05,1차금속,82.6
2016.05,금속가공제품;기계및가구제외,87.8
2016.05,"전자부품,컴퓨터,영상,음향및통신장비",83.2
2016.05,"의료,정밀,광학기기및시계",83.8
2016.05,전기장비,95.2
2016.05,기타기계및장비,79.8
2016.05,자동차및트레일러,80.5
2016.05,기타운송장비,79.3
2016.05,가구,60.4
2016.05,기타제품,82.2
2016.05,비제조업,83.4
2016.05,건설업,78.3
2016.05,도매 및 소매업,82.4
2016.05,운수업,87.5
2016.05,숙박 및 음식점업,89.5
2016.05,"출판,영상,방송통신 및 정보서비스업",95.9
2016.05,부동산업 및 임대업,78.8
2016.05,"전문,과학 및 기술서비스업",89.8
2016.05,사업시설관리 및 사업지원서비스업,87.8
2016.05,교육서비스업,72.5
2016.05,"예술,스포츠 및 여가관련서비스업",90
2016.05,수리 및 기타개인서비스업,79.1
2016.06,전산업,83
2016.06,식료품,86.1
2016.06,음료,111.2
2016.06,섬유제품;의복제외,79.7
2016.06,"의복,의복악세서리및모피제품",80.6
2016.06,"가죽,가방및신발",85.9
2016.06,목재및나무제품;가구제외,76.3
2016.06,"펄프,종이및종이제품",82.1
2016.06,인쇄및기록매체복제업,72.7
2016.06,화학물질및화학제품;의약품제외,89.9
2016.06,의료용물질및의약품,85.4
2016.06,고무제품및플라스틱제품,86.4
2016.06,비금속광물제품,88.5
2016.06,1차금속,81.7
2016.06,금속가공제품;기계및가구제외,83.3
2016.06,"전자부품,컴퓨터,영상,음향및통신장비",85.8
2016.06,"의료,정밀,광학기기및시계",82
2016.06,전기장비,89.7
2016.06,기타기계및장비,78.9
2016.06,자동차및트레일러,81.6
2016.06,기타운송장비,75.3
2016.06,가구,65.8
2016.06,기타제품,73.2
2016.06,비제조업,82.3
2016.06,건설업,83.5
2016.06,도매 및 소매업,77.7
2016.06,운수업,85.6
2016.06,숙박 및 음식점업,80.3
2016.06,"출판,영상,방송통신 및 정보서비스업",94.1
2016.06,부동산업 및 임대업,84.6
2016.06,"전문,과학 및 기술서비스업",87.3
2016.06,사업시설관리 및 사업지원서비스업,84.7
2016.06,교육서비스업,94.2
2016.06,"예술,스포츠 및 여가관련서비스업",91.3
2016.06,수리 및 기타개인서비스업,78.6
2016.07,전산업,81.7
2016.07,식료품,85.5
2016.07,음료,95.8
2016.07,섬유제품;의복제외,80.2
2016.07,"의복,의복악세서리및모피제품",74
2016.07,"가죽,가방및신발",87.1
2016.07,목재및나무제품;가구제외,72.3
2016.07,"펄프,종이및종이제품",81.2
2016.07,인쇄및기록매체복제업,72.6
2016.07,화학물질및화학제품;의약품제외,92.2
2016.07,의료용물질및의약품,94.6
2016.07,고무제품및플라스틱제품,79.7
