시점,구분별,영업이익실적SBHI
2016.07,비금속광물제품,82.7
2016.07,1차금속,83.1
2016.07,금속가공제품;기계및가구제외,82.4
2016.07,"전자부품,컴퓨터,영상,음향및통신장비",85.7
2016.07,"의료,정밀,광학기기및시계",78.7
2016.07,전기장비,84.5
2016.07,기타기계및장비,84.6
2016.07,자동차및트레일러,81.6
2016.07,기타운송장비,74.4
2016.07,가구,66.6
2016.07,기타제품,70.4
2016.07,비제조업,80.4
2016.07,건설업,77.5
2016.07,도매 및 소매업,74.2
2016.07,운수업,85.4
2016.07,숙박 및 음식점업,83
2016.07,"출판,영상,방송통신 및 정보서비스업",91
2016.07,부동산업 및 임대업,91.4
2016.07,"전문,과학 및 기술서비스업",89.5
2016.07,사업시설관리 및 사업지원서비스업,81.2
2016.07,교육서비스업,109
2016.07,"예술,스포츠 및 여가관련서비스업",87.6
2016.07,수리 및 기타개인서비스업,72.5
2016.08,전산업,80.1
2016.08,식료품,87.8
2016.08,음료,99.6
2016.08,섬유제품;의복제외,88.6
2016.08,"의복,의복악세서리및모피제품",74.3
2016.08,"가죽,가방및신발",80.5
2016.08,목재및나무제품;가구제외,70.2
2016.08,"펄프,종이및종이제품",78.1
2016.08,인쇄및기록매체복제업,70.9
2016.08,화학물질및화학제품;의약품제외,82.5
2016.08,의료용물질및의약품,89.9
2016.08,고무제품및플라스틱제품,81.1
2016.08,비금속광물제품,76
2016.08,1차금속,79.2
2016.08,금속가공제품;기계및가구제외,82.2
2016.08,"전자부품,컴퓨터,영상,음향및통신장비",83.9
2016.08,"의료,정밀,광학기기및시계",76.9
2016.08,전기장비,74
2016.08,기타기계및장비,75.4
2016.08,자동차및트레일러,65.7
2016.08,기타운송장비,63.6
2016.08,가구,76.7
2016.08,기타제품,71
2016.08,비제조업,80.8
2016.08,건설업,74.1
2016.08,도매 및 소매업,78.5
2016.08,운수업,84.3
2016.08,숙박 및 음식점업,85.6
2016.08,"출판,영상,방송통신 및 정보서비스업",90.5
2016.08,부동산업 및 임대업,76.4
2016.08,"전문,과학 및 기술서비스업",89.7
2016.08,사업시설관리 및 사업지원서비스업,78.1
2016.08,교육서비스업,98.5
2016.08,"예술,스포츠 및 여가관련서비스업",72.3
2016.08,수리 및 기타개인서비스업,80.5
2016.09,전산업,81.8
2016.09,식료품,99.7
2016.09,음료,89.7
2016.09,섬유제품;의복제외,83.3
2016.09,"의복,의복악세서리및모피제품",78.2
2016.09,"가죽,가방및신발",86.8
2016.09,목재및나무제품;가구제외,75.7
2016.09,"펄프,종이및종이제품",77.1
2016.09,인쇄및기록매체복제업,86.1
2016.09,화학물질및화학제품;의약품제외,81.7
2016.09,의료용물질및의약품,92.4
2016.09,고무제품및플라스틱제품,85.2
2016.09,비금속광물제품,86.1
2016.09,1차금속,85.2
2016.09,금속가공제품;기계및가구제외,82.9
2016.09,"전자부품,컴퓨터,영상,음향및통신장비",89.7
2016.09,"의료,정밀,광학기기및시계",78.3
2016.09,전기장비,81.6
2016.09,기타기계및장비,79.3
2016.09,자동차및트레일러,73.7
2016.09,기타운송장비,64.5
2016.09,가구,60.2
2016.09,기타제품,70.3
2016.09,비제조업,80.8
2016.09,건설업,82.1
2016.09,도매 및 소매업,80.1
2016.09,운수업,88.7
2016.09,숙박 및 음식점업,75.4
2016.09,"출판,영상,방송통신 및 정보서비스업",88
2016.09,부동산업 및 임대업,83.1
2016.09,"전문,과학 및 기술서비스업",82.3
2016.09,사업시설관리 및 사업지원서비스업,83
2016.09,교육서비스업,62.2
2016.09,"예술,스포츠 및 여가관련서비스업",91.8
2016.09,수리 및 기타개인서비스업,75.6
2016.1,전산업,80.7
2016.1,식료품,87.8
2016.1,음료,78.9
2016.1,섬유제품;의복제외,81.2
2016.1,"의복,의복악세서리및모피제품",75.4
2016.1,"가죽,가방및신발",91.8
2016.1,목재및나무제품;가구제외,83.5
2016.1,"펄프,종이및종이제품",80.5
2016.1,인쇄및기록매체복제업,84.9
2016.1,화학물질및화학제품;의약품제외,82
2016.1,의료용물질및의약품,88.6
2016.1,고무제품및플라스틱제품,86.4
2016.1,비금속광물제품,80
2016.1,1차금속,80.4
2016.1,금속가공제품;기계및가구제외,83.1
2016.1,"전자부품,컴퓨터,영상,음향및통신장비",81.4
2016.1,"의료,정밀,광학기기및시계",86.8
2016.1,전기장비,82.3
2016.1,기타기계및장비,71.1
2016.1,자동차및트레일러,75.8
2016.1,기타운송장비,58.6
2016.1,가구,66.9
2016.1,기타제품,75
2016.1,비제조업,81.3
2016.1,건설업,79
2016.1,도매 및 소매업,81
2016.1,운수업,86.7
2016.1,숙박 및 음식점업,72.7
2016.1,"출판,영상,방송통신 및 정보서비스업",91
2016.1,부동산업 및 임대업,86.7
2016.1,"전문,과학 및 기술서비스업",78.5
2016.1,사업시설관리 및 사업지원서비스업,92
2016.1,교육서비스업,77.1
2016.1,"예술,스포츠 및 여가관련서비스업",88.2
2016.1,수리 및 기타개인서비스업,75.2
2016.11,전산업,78.7
2016.11,식료품,83.5
2016.11,음료,68.2
2016.11,섬유제품;의복제외,81.4
2016.11,"의복,의복악세서리및모피제품",72.1
2016.11,"가죽,가방및신발",71.8
2016.11,목재및나무제품;가구제외,75.8
2016.11,"펄프,종이및종이제품",73.1
2016.11,인쇄및기록매체복제업,83.8
2016.11,화학물질및화학제품;의약품제외,77
2016.11,의료용물질및의약품,92.6
2016.11,고무제품및플라스틱제품,81.5
2016.11,비금속광물제품,84.8
2016.11,1차금속,79.8
2016.11,금속가공제품;기계및가구제외,84.1
2016.11,"전자부품,컴퓨터,영상,음향및통신장비",81.8
2016.11,"의료,정밀,광학기기및시계",82
2016.11,전기장비,87.2
2016.11,기타기계및장비,78.8
2016.11,자동차및트레일러,83.3
2016.11,기타운송장비,73.7
2016.11,가구,77.6
2016.11,기타제품,74.7
2016.11,비제조업,77
2016.11,건설업,82.3
2016.11,도매 및 소매업,72.2
2016.11,운수업,77.1
2016.11,숙박 및 음식점업,76.8
2016.11,"출판,영상,방송통신 및 정보서비스업",88.3
2016.11,부동산업 및 임대업,82.1
2016.11,"전문,과학 및 기술서비스업",80.8
2016.11,사업시설관리 및 사업지원서비스업,86.6
2016.11,교육서비스업,83.1
2016.11,"예술,스포츠 및 여가관련서비스업",79.5
2016.11,수리 및 기타개인서비스업,82.4
2016.12,전산업,78.5
2016.12,식료품,83
2016.12,음료,86.3
2016.12,섬유제품;의복제외,67
2016.12,"의복,의복악세서리및모피제품",74.4
2016.12,"가죽,가방및신발",70.4
2016.12,목재및나무제품;가구제외,67.1
2016.12,"펄프,종이및종이제품",68.7
2016.12,인쇄및기록매체복제업,83.7
2016.12,화학물질및화학제품;의약품제외,72.3
2016.12,의료용물질및의약품,92
2016.12,고무제품및플라스틱제품,79.2
2016.12,비금속광물제품,84.4
2016.12,1차금속,81.4
2016.12,금속가공제품;기계및가구제외,82.5
2016.12,"전자부품,컴퓨터,영상,음향및통신장비",80.7
2016.12,"의료,정밀,광학기기및시계",81.8
2016.12,전기장비,84.3
2016.12,기타기계및장비,75.5
2016.12,자동차및트레일러,83.9
2016.12,기타운송장비,71.3
2016.12,가구,77.3
2016.12,기타제품,76.6
2016.12,비제조업,78.1
2016.12,건설업,76
2016.12,도매 및 소매업,77
2016.12,운수업,81
2016.12,숙박 및 음식점업,72.7
2016.12,"출판,영상,방송통신 및 정보서비스업",88.9
2016.12,부동산업 및 임대업,77.2
2016.12,"전문,과학 및 기술서비스업",79
2016.12,사업시설관리 및 사업지원서비스업,88.2
2016.12,교육서비스업,85.7
2016.12,"예술,스포츠 및 여가관련서비스업",78.3
2016.12,수리 및 기타개인서비스업,76.1
2017.01,전산업,71.6
2017.01,식료품,68.2
2017.01,음료,96.9
2017.01,섬유제품;의복제외,65.6
2017.01,"의복,의복악세서리및모피제품",76.6
2017.01,"가죽,가방및신발",74.9
2017.01,목재및나무제품;가구제외,64.6
2017.01,"펄프,종이및종이제품",78.5
2017.01,인쇄및기록매체복제업,71.7
2017.01,화학물질및화학제품;의약품제외,74.1
2017.01,의료용물질및의약품,92.1
2017.01,고무제품및플라스틱제품,70.5
2017.01,비금속광물제품,63.8
2017.01,1차금속,74.4
2017.01,금속가공제품;기계및가구제외,78.8
2017.01,"전자부품,컴퓨터,영상,음향및통신장비",81.1
2017.01,"의료,정밀,광학기기및시계",78.9
2017.01,전기장비,80.1
2017.01,기타기계및장비,68.4
2017.01,자동차및트레일러,78.7
2017.01,기타운송장비,67.9
2017.01,가구,64
2017.01,기타제품,62.8
2017.01,비제조업,70
2017.01,건설업,67.3
2017.01,도매 및 소매업,68.5
2017.01,운수업,77.9
2017.01,숙박 및 음식점업,59.5
2017.01,"출판,영상,방송통신 및 정보서비스업",83.7
2017.01,부동산업 및 임대업,69.2
2017.01,"전문,과학 및 기술서비스업",75
2017.01,사업시설관리 및 사업지원서비스업,79.6
2017.01,교육서비스업,74.1
2017.01,"예술,스포츠 및 여가관련서비스업",68.8
2017.01,수리 및 기타개인서비스업,72.4
2017.02,전산업,70.9
2017.02,식료품,73.9
2017.02,음료,75.4
2017.02,섬유제품;의복제외,54.5
2017.02,"의복,의복악세서리및모피제품",72.2
2017.02,"가죽,가방및신발",65.4
2017.02,목재및나무제품;가구제외,73.3
2017.02,"펄프,종이및종이제품",63.2
2017.02,인쇄및기록매체복제업,73.9
2017.02,화학물질및화학제품;의약품제외,76.1
2017.02,의료용물질및의약품,95.2
2017.02,고무제품및플라스틱제품,75.7
2017.02,비금속광물제품,68
2017.02,1차금속,81.3
2017.02,금속가공제품;기계및가구제외,75.3
2017.02,"전자부품,컴퓨터,영상,음향및통신장비",80.4
2017.02,"의료,정밀,광학기기및시계",86.6
2017.02,전기장비,73.9
2017.02,기타기계및장비,74.3
2017.02,자동차및트레일러,79.1
2017.02,기타운송장비,61.5
2017.02,가구,82.2
2017.02,기타제품,79.2
2017.02,비제조업,68
2017.02,건설업,63.8
2017.02,도매 및 소매업,65.4
2017.02,운수업,75.1
2017.02,숙박 및 음식점업,63.7
2017.02,"출판,영상,방송통신 및 정보서비스업",83.3
2017.02,부동산업 및 임대업,73.8
2017.02,"전문,과학 및 기술서비스업",81
2017.02,사업시설관리 및 사업지원서비스업,83.2
2017.02,교육서비스업,69.9
2017.02,"예술,스포츠 및 여가관련서비스업",61.4
2017.02,수리 및 기타개인서비스업,75.1
2017.03,전산업,81.8
2017.03,식료품,83.9
2017.03,음료,92
2017.03,섬유제품;의복제외,70.7
2017.03,"의복,의복악세서리및모피제품",75.3
2017.03,"가죽,가방및신발",78.5
2017.03,목재및나무제품;가구제외,75
2017.03,"펄프,종이및종이제품",69.9
2017.03,인쇄및기록매체복제업,85.1
2017.03,화학물질및화학제품;의약품제외,83.9
2017.03,의료용물질및의약품,92.9
2017.03,고무제품및플라스틱제품,79.7
2017.03,비금속광물제품,87.9
2017.03,1차금속,78.6
2017.03,금속가공제품;기계및가구제외,79.6
2017.03,"전자부품,컴퓨터,영상,음향및통신장비",90.1
2017.03,"의료,정밀,광학기기및시계",89.9
2017.03,전기장비,77.4
2017.03,기타기계및장비,81.9
2017.03,자동차및트레일러,90.5
2017.03,기타운송장비,69.1
2017.03,가구,87.8
2017.03,기타제품,78.3
2017.03,비제조업,81.9
2017.03,건설업,81.3
2017.03,도매 및 소매업,81.8
2017.03,운수업,81.2
2017.03,숙박 및 음식점업,77.1
2017.03,"출판,영상,방송통신 및 정보서비스업",83.7
2017.03,부동산업 및 임대업,82.1
2017.03,"전문,과학 및 기술서비스업",80.8
2017.03,사업시설관리 및 사업지원서비스업,91.2
2017.03,교육서비스업,80.4
2017.03,"예술,스포츠 및 여가관련서비스업",92
2017.03,수리 및 기타개인서비스업,79.6
2017.04,전산업,82.1
2017.04,식료품,85.4
2017.04,음료,94
2017.04,섬유제품;의복제외,75.6
2017.04,"의복,의복악세서리및모피제품",83.2
2017.04,"가죽,가방및신발",77.8
2017.04,목재및나무제품;가구제외,76.5
2017.04,"펄프,종이및종이제품",79.5
2017.04,인쇄및기록매체복제업,79.4
2017.04,화학물질및화학제품;의약품제외,86.9
2017.04,의료용물질및의약품,91.5
2017.04,고무제품및플라스틱제품,85.1
2017.04,비금속광물제품,92.4
2017.04,1차금속,81
2017.04,금속가공제품;기계및가구제외,73.1
2017.04,"전자부품,컴퓨터,영상,음향및통신장비",92.1
2017.04,"의료,정밀,광학기기및시계",86.6
2017.04,전기장비,81.7
2017.04,기타기계및장비,77.8
2017.04,자동차및트레일러,86.6
2017.04,기타운송장비,70.1
2017.04,가구,81.3
2017.04,기타제품,83.7
2017.04,비제조업,82.2
2017.04,건설업,85.2
2017.04,도매 및 소매업,79
2017.04,운수업,86.1
2017.04,숙박 및 음식점업,86.5
2017.04,"출판,영상,방송통신 및 정보서비스업",88.3
2017.04,부동산업 및 임대업,83
2017.04,"전문,과학 및 기술서비스업",83.1
2017.04,사업시설관리 및 사업지원서비스업,91.6
2017.04,교육서비스업,75.8
2017.04,"예술,스포츠 및 여가관련서비스업",97.6
2017.04,수리 및 기타개인서비스업,80.2
2017.05,전산업,79.4
2017.05,식료품,89.3
2017.05,음료,104.8
2017.05,섬유제품;의복제외,71.5
2017.05,"의복,의복악세서리및모피제품",72.2
2017.05,"가죽,가방및신발",73.6
2017.05,목재및나무제품;가구제외,75.6
2017.05,"펄프,종이및종이제품",72.8
2017.05,인쇄및기록매체복제업,72
2017.05,화학물질및화학제품;의약품제외,86.2
2017.05,의료용물질및의약품,100.7
2017.05,고무제품및플라스틱제품,74.3
2017.05,비금속광물제품,88.9
2017.05,1차금속,75.2
2017.05,금속가공제품;기계및가구제외,74.8
2017.05,"전자부품,컴퓨터,영상,음향및통신장비",83.7
2017.05,"의료,정밀,광학기기및시계",87.5
2017.05,전기장비,77.3
2017.05,기타기계및장비,75.6
2017.05,자동차및트레일러,74.3
2017.05,기타운송장비,72.3
2017.05,가구,69.3
2017.05,기타제품,85.8
2017.05,비제조업,80.6
2017.05,건설업,79.2
2017.05,도매 및 소매업,78.8
2017.05,운수업,81
2017.05,숙박 및 음식점업,87.3
2017.05,"출판,영상,방송통신 및 정보서비스업",87.9
2017.05,부동산업 및 임대업,84.3
2017.05,"전문,과학 및 기술서비스업",79.4
2017.05,사업시설관리 및 사업지원서비스업,88.8
2017.05,교육서비스업,78.8
2017.05,"예술,스포츠 및 여가관련서비스업",96.2
2017.05,수리 및 기타개인서비스업,86.4
2017.06,전산업,79.9
2017.06,식료품,86.1
2017.06,음료,97.9
2017.06,섬유제품;의복제외,71.4
2017.06,"의복,의복악세서리및모피제품",77.1
2017.06,"가죽,가방및신발",76.5
2017.06,목재및나무제품;가구제외,77.5
2017.06,"펄프,종이및종이제품",63.8
2017.06,인쇄및기록매체복제업,75.2
2017.06,화학물질및화학제품;의약품제외,88
2017.06,의료용물질및의약품,88.5
2017.06,고무제품및플라스틱제품,81.9
2017.06,비금속광물제품,87.1
2017.06,1차금속,81.5
2017.06,금속가공제품;기계및가구제외,79.6
2017.06,"전자부품,컴퓨터,영상,음향및통신장비",90
2017.06,"의료,정밀,광학기기및시계",88.3
2017.06,전기장비,81.1
2017.06,기타기계및장비,81.2
2017.06,자동차및트레일러,83.4
2017.06,기타운송장비,78.8
2017.06,가구,72.1
2017.06,기타제품,85.9
2017.06,비제조업,78.6
2017.06,건설업,75.3
2017.06,도매 및 소매업,78
2017.06,운수업,79.3
2017.06,숙박 및 음식점업,71
2017.06,"출판,영상,방송통신 및 정보서비스업",86.5
2017.06,부동산업 및 임대업,83.9
2017.06,"전문,과학 및 기술서비스업",83.2
2017.06,사업시설관리 및 사업지원서비스업,88
2017.06,교육서비스업,79.3
2017.06,"예술,스포츠 및 여가관련서비스업",92.6
2017.06,수리 및 기타개인서비스업,83
2017.07,전산업,80.5
2017.07,식료품,79.7
2017.07,음료,95.2
2017.07,섬유제품;의복제외,70.9
2017.07,"의복,의복악세서리및모피제품",75
2017.07,"가죽,가방및신발",71.7
2017.07,목재및나무제품;가구제외,72.4
2017.07,"펄프,종이및종이제품",67.5
2017.07,인쇄및기록매체복제업,68.8
2017.07,화학물질및화학제품;의약품제외,76.2
2017.07,의료용물질및의약품,90.2
2017.07,고무제품및플라스틱제품,80.1
2017.07,비금속광물제품,84.7
2017.07,1차금속,77.8
2017.07,금속가공제품;기계및가구제외,74.1
2017.07,"전자부품,컴퓨터,영상,음향및통신장비",85.6
2017.07,"의료,정밀,광학기기및시계",83.6
2017.07,전기장비,75.7
2017.07,기타기계및장비,79.5
2017.07,자동차및트레일러,83.8
2017.07,기타운송장비,74.4
2017.07,가구,70.4
2017.07,기타제품,83.6
2017.07,비제조업,82.2
2017.07,건설업,78
2017.07,도매 및 소매업,82.6
2017.07,운수업,79.5
2017.07,숙박 및 음식점업,88.1
2017.07,"출판,영상,방송통신 및 정보서비스업",89.6
2017.07,부동산업 및 임대업,80.8
2017.07,"전문,과학 및 기술서비스업",82.9
2017.07,사업시설관리 및 사업지원서비스업,84.2
2017.07,교육서비스업,92.6
2017.07,"예술,스포츠 및 여가관련서비스업",83.7
2017.07,수리 및 기타개인서비스업,83.5
2017.08,전산업,76.1
2017.08,식료품,85.7
2017.08,음료,90.9
2017.08,섬유제품;의복제외,64.2
2017.08,"의복,의복악세서리및모피제품",73.1
2017.08,"가죽,가방및신발",68.2
2017.08,목재및나무제품;가구제외,72.8
2017.08,"펄프,종이및종이제품",76.7
2017.08,인쇄및기록매체복제업,66.4
2017.08,화학물질및화학제품;의약품제외,77.2
2017.08,의료용물질및의약품,86.2
2017.08,고무제품및플라스틱제품,81.4
2017.08,비금속광물제품,73.7
2017.08,1차금속,70.1
2017.08,금속가공제품;기계및가구제외,69.2
2017.08,"전자부품,컴퓨터,영상,음향및통신장비",83.5
2017.08,"의료,정밀,광학기기및시계",85
2017.08,전기장비,73.7
2017.08,기타기계및장비,75.3
2017.08,자동차및트레일러,64.7
2017.08,기타운송장비,56.7
2017.08,가구,81.1
2017.08,기타제품,71.2
2017.08,비제조업,77.4
2017.08,건설업,76.6
2017.08,도매 및 소매업,76.1
2017.08,운수업,77.1
2017.08,숙박 및 음식점업,74.8
2017.08,"출판,영상,방송통신 및 정보서비스업",86.8
2017.08,부동산업 및 임대업,74.1
2017.08,"전문,과학 및 기술서비스업",76.7
2017.08,사업시설관리 및 사업지원서비스업,83
2017.08,교육서비스업,86.1
2017.08,"예술,스포츠 및 여가관련서비스업",80.7
2017.08,수리 및 기타개인서비스업,87.1
2017.09,전산업,85.4
2017.09,식료품,99.1
2017.09,음료,96.2
2017.09,섬유제품;의복제외,75.8
2017.09,"의복,의복악세서리및모피제품",84.7
2017.09,"가죽,가방및신발",87.3
2017.09,목재및나무제품;가구제외,83.1
2017.09,"펄프,종이및종이제품",79.6
2017.09,인쇄및기록매체복제업,86.2
2017.09,화학물질및화학제품;의약품제외,92.8
2017.09,의료용물질및의약품,89.8
2017.09,고무제품및플라스틱제품,86.3
2017.09,비금속광물제품,87.2
2017.09,1차금속,83.1
2017.09,금속가공제품;기계및가구제외,77.5
2017.09,"전자부품,컴퓨터,영상,음향및통신장비",88.2
2017.09,"의료,정밀,광학기기및시계",86.5
2017.09,전기장비,80
2017.09,기타기계및장비,81.9
2017.09,자동차및트레일러,88.7
2017.09,기타운송장비,69.7
2017.09,가구,77.3
2017.09,기타제품,80.2
2017.09,비제조업,86.3
2017.09,건설업,79.3
2017.09,도매 및 소매업,89.1
2017.09,운수업,86.4
2017.09,숙박 및 음식점업,84.4
2017.09,"출판,영상,방송통신 및 정보서비스업",88.8
2017.09,부동산업 및 임대업,82.2
2017.09,"전문,과학 및 기술서비스업",83.5
2017.09,사업시설관리 및 사업지원서비스업,90
2017.09,교육서비스업,81.9
2017.09,"예술,스포츠 및 여가관련서비스업",94.8
2017.09,수리 및 기타개인서비스업,86.5
2017.1,전산업,76.8
2017.1,식료품,85.7
2017.1,음료,85.6
2017.1,섬유제품;의복제외,75.3
2017.1,"의복,의복악세서리및모피제품",72.5
2017.1,"가죽,가방및신발",75.6
2017.1,목재및나무제품;가구제외,66.7
2017.1,"펄프,종이및종이제품",64.2
2017.1,인쇄및기록매체복제업,69.5
2017.1,화학물질및화학제품;의약품제외,79.5
2017.1,의료용물질및의약품,89.2
2017.1,고무제품및플라스틱제품,77.8
2017.1,비금속광물제품,81.9
2017.1,1차금속,76.7
2017.1,금속가공제품;기계및가구제외,68.8
2017.1,"전자부품,컴퓨터,영상,음향및통신장비",81.1
2017.1,"의료,정밀,광학기기및시계",75.3
2017.1,전기장비,79.9
2017.1,기타기계및장비,75
2017.1,자동차및트레일러,71.9
2017.1,기타운송장비,58.1
2017.1,가구,70
2017.1,기타제품,72.5
2017.1,비제조업,77.9
2017.1,건설업,80.2
2017.1,도매 및 소매업,73.6
2017.1,운수업,85.3
2017.1,숙박 및 음식점업,75.8
2017.1,"출판,영상,방송통신 및 정보서비스업",89.2
2017.1,부동산업 및 임대업,89.5
2017.1,"전문,과학 및 기술서비스업",84.5
2017.1,사업시설관리 및 사업지원서비스업,88.3
2017.1,교육서비스업,75.7
2017.1,"예술,스포츠 및 여가관련서비스업",81.9
2017.1,수리 및 기타개인서비스업,77.6
2017.11,전산업,81.6
2017.11,식료품,76.3
2017.11,음료,88.9
2017.11,섬유제품;의복제외,77.5
2017.11,"의복,의복악세서리및모피제품",76.6
2017.11,"가죽,가방및신발",72.5
2017.11,목재및나무제품;가구제외,84.7
2017.11,"펄프,종이및종이제품",79.3
2017.11,인쇄및기록매체복제업,90.7
2017.11,화학물질및화학제품;의약품제외,83.1
2017.11,의료용물질및의약품,92.6
2017.11,고무제품및플라스틱제품,80.4
2017.11,비금속광물제품,91.9
2017.11,1차금속,84.4
2017.11,금속가공제품;기계및가구제외,81.1
2017.11,"전자부품,컴퓨터,영상,음향및통신장비",87.9
2017.11,"의료,정밀,광학기기및시계",83
2017.11,전기장비,77.5
2017.11,기타기계및장비,80.5
2017.11,자동차및트레일러,77
2017.11,기타운송장비,58.4
2017.11,가구,80.2
2017.11,기타제품,74.9
2017.11,비제조업,82.3
2017.11,건설업,78.3
2017.11,도매 및 소매업,82.6
2017.11,운수업,81.3
2017.11,숙박 및 음식점업,78.6
2017.11,"출판,영상,방송통신 및 정보서비스업",88.5
2017.11,부동산업 및 임대업,84.4
2017.11,"전문,과학 및 기술서비스업",84.3
2017.11,사업시설관리 및 사업지원서비스업,89.2
2017.11,교육서비스업,82.3
2017.11,"예술,스포츠 및 여가관련서비스업",77.4
2017.11,수리 및 기타개인서비스업,91.4
2017.12,전산업,81.3
2017.12,식료품,80.1
2017.12,음료,91.7
2017.12,섬유제품;의복제외,69.5
2017.12,"의복,의복악세서리및모피제품",80
2017.12,"가죽,가방및신발",79.6
2017.12,목재및나무제품;가구제외,77.1
2017.12,"펄프,종이및종이제품",68.4
2017.12,인쇄및기록매체복제업,95
2017.12,화학물질및화학제품;의약품제외,83.5
2017.12,의료용물질및의약품,99.6
2017.12,고무제품및플라스틱제품,69.8
2017.12,비금속광물제품,86.8
2017.12,1차금속,83
2017.12,금속가공제품;기계및가구제외,77.4
2017.12,"전자부품,컴퓨터,영상,음향및통신장비",88.3
2017.12,"의료,정밀,광학기기및시계",89.3
2017.12,전기장비,84.4
2017.12,기타기계및장비,80.1
2017.12,자동차및트레일러,80.4
2017.12,기타운송장비,66.2
2017.12,가구,83.6
2017.12,기타제품,75.8
2017.12,비제조업,82.3
2017.12,건설업,80.9
2017.12,도매 및 소매업,81.3
2017.12,운수업,80
2017.12,숙박 및 음식점업,87
